Country,Month,Available Agents,New Hires,Fired,Total Agents,Assigned Advertisers,Waiting Advertisers,Dropped Advertisers,Graduated Advertisers,Total Cost ($),Revenue Uplift ($),Waiting Cost Penalty ($),Net Profit ($)
Canada,2025-01,228.0,0.0,155.0,228.0,371.0,0.0,0.0,0.0,4945860.0,2264192.6,0.0,-2681667.4
Canada,2025-02,73.0,0.0,0.0,73.0,345.0,0.0,0.0,0.0,371448.33,2134671.98,0.0,1763223.65
Canada,2025-03,73.0,0.0,0.0,73.0,354.0,0.0,0.0,371.0,371448.33,2314039.59,0.0,1942591.2599999998
Canada,2025-04,73.0,0.0,0.0,73.0,357.0,0.0,0.0,345.0,371448.33,2199330.63,0.0,1827882.2999999998
Canada,2025-05,73.0,0.0,0.0,73.0,370.0,0.0,0.0,354.0,371448.33,2270277.45,0.0,1898829.12
Canada,2025-06,73.0,0.0,0.0,73.0,308.0,0.0,0.0,357.0,371448.33,1979249.58,0.0,1607801.25
Canada,2025-07,73.0,0.0,0.0,73.0,320.0,0.0,0.0,370.0,371448.33,2023142.4,0.0,1651694.0699999998
Canada,2025-08,73.0,0.0,0.0,73.0,314.0,0.0,0.0,308.0,371448.33,1993432.14,0.0,1621983.8099999998
Canada,2025-09,73.0,17.0,0.0,90.0,379.0,0.0,0.0,320.0,457950.0,2325091.1,0.0,1867141.1
Canada,2025-10,90.0,0.0,0.0,90.0,518.0,0.0,0.0,314.0,457950.0,3233143.62,0.0,2775193.62
Canada,2025-11,90.0,18.0,0.0,108.0,382.0,168.0,0.0,379.0,549540.0,2443592.88,89555.76,1894052.88
Canada,2025-12,108.0,108.0,0.0,216.0,698.0,0.0,0.0,518.0,1099080.0,4504194.0,0.0,3405114.0
Vietnam,2025-01,59.0,18.0,0.0,77.0,383.0,0.0,0.0,0.0,114884.0,916626.24,0.0,801742.24
Vietnam,2025-02,77.0,0.0,0.0,77.0,378.0,0.0,0.0,0.0,114884.0,876236.13,0.0,761352.13
Vietnam,2025-03,77.0,0.0,0.0,77.0,387.0,0.0,0.0,383.0,114884.0,869618.02,0.0,754734.02
Vietnam,2025-04,77.0,0.0,2.0,77.0,378.0,0.0,0.0,378.0,129207.2,897158.43,0.0,767951.2300000001
Vietnam,2025-05,75.0,0.0,0.0,75.0,363.0,0.0,0.0,387.0,111900.0,869397.7,0.0,757497.7
Vietnam,2025-06,75.0,0.0,0.0,75.0,340.0,0.0,0.0,378.0,111900.0,790168.5,0.0,678268.5
Vietnam,2025-07,75.0,0.0,0.0,75.0,352.0,0.0,0.0,363.0,111900.0,834831.36,0.0,722931.36
Vietnam,2025-08,75.0,0.0,0.0,75.0,306.0,0.0,0.0,340.0,111900.0,661538.34,0.0,549638.34
Vietnam,2025-09,75.0,21.0,0.0,96.0,392.0,0.0,0.0,352.0,143232.0,971505.36,0.0,828273.36
Vietnam,2025-10,96.0,8.0,0.0,104.0,559.0,0.0,0.0,306.0,155168.0,1346295.6,0.0,1191127.6
Vietnam,2025-11,104.0,0.0,0.0,104.0,481.0,75.0,0.0,392.0,155168.0,1107141.75,14385.94,951973.75
Vietnam,2025-12,104.0,104.0,0.0,208.0,557.0,0.0,0.0,559.0,310336.0,1236581.78,0.0,926245.78
Brazil,2025-01,189.0,0.0,96.0,189.0,437.0,0.0,0.0,0.0,1513492.5,3658220.96,0.0,2144728.46
Brazil,2025-02,93.0,0.0,0.0,93.0,428.0,0.0,0.0,0.0,216612.5,3691448.64,0.0,3474836.14
Brazil,2025-03,93.0,0.0,0.0,93.0,448.0,0.0,0.0,437.0,216612.5,3845016.0,0.0,3628403.5
Brazil,2025-04,93.0,0.0,0.0,93.0,456.0,0.0,0.0,428.0,216612.5,3818689.92,0.0,3602077.42
Brazil,2025-05,93.0,0.0,0.0,93.0,466.0,0.0,0.0,448.0,216612.5,3910296.87,0.0,3693684.37
Brazil,2025-06,93.0,0.0,0.0,93.0,367.0,0.0,0.0,456.0,216612.5,3011345.1,0.0,2794732.6
Brazil,2025-07,93.0,0.0,0.0,93.0,385.0,0.0,0.0,466.0,216612.5,3246202.58,0.0,3029590.08
Brazil,2025-08,93.0,0.0,0.0,93.0,405.0,0.0,0.0,367.0,216612.5,3421452.15,0.0,3204839.65
Brazil,2025-09,93.0,19.0,0.0,112.0,468.0,0.0,0.0,385.0,260866.67,4084713.36,0.0,3823846.69
Brazil,2025-10,112.0,16.0,0.0,128.0,649.0,0.0,0.0,405.0,298133.33,5659315.7,0.0,5361182.37
Brazil,2025-11,128.0,0.0,0.0,128.0,631.0,0.0,0.0,468.0,298133.33,5475351.06,0.0,5177217.7299999995
Brazil,2025-12,128.0,0.0,0.0,128.0,587.0,0.0,0.0,649.0,298133.33,5029283.93,0.0,4731150.6
Indonesia,2025-01,120.0,0.0,91.0,120.0,152.0,0.0,0.0,0.0,729779.2,469210.32,0.0,-260568.87999999995
Indonesia,2025-02,29.0,0.0,0.0,29.0,128.0,0.0,0.0,0.0,38009.33,403211.52,0.0,365202.19
Indonesia,2025-03,29.0,0.0,0.0,29.0,131.0,0.0,0.0,152.0,38009.33,387920.48,0.0,349911.14999999997
Indonesia,2025-04,29.0,0.0,0.0,29.0,129.0,0.0,0.0,128.0,38009.33,385533.27,0.0,347523.94
Indonesia,2025-05,29.0,0.0,0.0,29.0,161.0,0.0,0.0,131.0,38009.33,474214.23,0.0,436204.89999999997
Indonesia,2025-06,29.0,0.0,0.0,29.0,112.0,0.0,0.0,129.0,38009.33,324021.6,0.0,286012.26999999996
Indonesia,2025-07,29.0,0.0,0.0,29.0,134.0,0.0,0.0,161.0,38009.33,392064.57,0.0,354055.24
Indonesia,2025-08,29.0,0.0,0.0,29.0,129.0,0.0,0.0,112.0,38009.33,412474.28,0.0,374464.95
Indonesia,2025-09,29.0,8.0,0.0,37.0,159.0,0.0,0.0,134.0,48494.67,459179.28,0.0,410684.61000000004
Indonesia,2025-10,37.0,4.0,0.0,41.0,204.0,0.0,0.0,129.0,53737.33,603924.66,0.0,550187.3300000001
Indonesia,2025-11,41.0,0.0,0.0,41.0,206.0,1.0,0.0,159.0,53737.33,669247.65,270.73,615510.3200000001
Indonesia,2025-12,41.0,0.0,0.0,41.0,187.0,0.0,0.0,204.0,53737.33,588385.22,0.0,534647.89
Turkey,2025-01,102.0,0.0,69.0,102.0,168.0,0.0,0.0,0.0,886832.6,315569.52,0.0,-571263.08
Turkey,2025-02,33.0,0.0,1.0,33.0,161.0,0.0,0.0,0.0,77382.9,289075.5,0.0,211692.6
Turkey,2025-03,32.0,0.0,0.0,32.0,155.0,0.0,0.0,168.0,65509.33,274117.5,0.0,208608.16999999998
Turkey,2025-04,32.0,0.0,0.0,32.0,157.0,0.0,0.0,161.0,65509.33,265912.47,0.0,200403.13999999996
Turkey,2025-05,32.0,0.0,0.0,32.0,163.0,2.0,0.0,155.0,65509.33,269451.23,275.51,203941.89999999997
Turkey,2025-06,32.0,0.0,0.0,32.0,133.0,0.0,0.0,157.0,65509.33,241369.06,0.0,175859.72999999998
Turkey,2025-07,32.0,0.0,0.0,32.0,150.0,0.0,2.0,163.0,65509.33,259888.5,0.0,194379.16999999998
Turkey,2025-08,32.0,0.0,0.0,32.0,134.0,0.0,0.0,133.0,65509.33,224623.53,0.0,159114.2
Turkey,2025-09,32.0,11.0,0.0,43.0,177.0,0.0,0.0,150.0,88028.17,298376.86,0.0,210348.69
Turkey,2025-10,43.0,0.0,0.0,43.0,248.0,0.0,0.0,134.0,88028.17,431523.72,0.0,343495.55
Turkey,2025-11,43.0,2.0,0.0,45.0,182.0,48.0,0.0,177.0,92122.5,314152.02,6904.44,222029.52000000002
Turkey,2025-12,45.0,0.0,0.0,45.0,261.0,0.0,0.0,248.0,92122.5,465701.0,0.0,373578.5
Italy,2025-01,350.0,0.0,270.0,350.0,402.0,0.0,0.0,0.0,5910100.17,1585172.43,0.0,-4324927.74
Italy,2025-02,80.0,0.0,2.0,80.0,389.0,0.0,0.0,0.0,321716.27,1594302.88,0.0,1272586.6099999999
Italy,2025-03,78.0,0.0,0.0,78.0,388.0,0.0,0.0,402.0,280065.5,1559404.98,0.0,1279339.48
Italy,2025-04,78.0,0.0,1.0,78.0,383.0,0.0,0.0,389.0,297300.3,1540705.59,0.0,1243405.29
Italy,2025-05,77.0,0.0,0.0,77.0,366.0,0.0,0.0,388.0,276474.92,1475580.24,0.0,1199105.32
Italy,2025-06,77.0,0.0,0.0,77.0,320.0,0.0,0.0,383.0,276474.92,1276041.6,0.0,999566.6800000002
Italy,2025-07,77.0,0.0,0.0,77.0,392.0,0.0,0.0,366.0,276474.92,1560557.88,0.0,1284082.96
Italy,2025-08,77.0,0.0,0.0,77.0,352.0,0.0,0.0,320.0,276474.92,1504483.2,0.0,1228008.28
Italy,2025-09,77.0,23.0,0.0,100.0,411.0,0.0,0.0,392.0,359058.33,1672817.26,0.0,1313758.93
Italy,2025-10,100.0,0.0,0.0,100.0,583.0,0.0,0.0,352.0,359058.33,2448040.32,0.0,2088981.9899999998
Italy,2025-11,100.0,15.0,0.0,115.0,417.0,179.0,0.0,411.0,412917.08,1658394.4,59323.06,1245477.3199999998
Italy,2025-12,115.0,115.0,0.0,230.0,725.0,0.0,0.0,583.0,825834.17,2951812.12,0.0,2125977.95
UK,2025-01,589.0,0.0,489.0,589.0,504.0,0.0,0.0,0.0,12637894.17,4130912.52,0.0,-8506981.65
UK,2025-02,100.0,0.0,3.0,100.0,487.0,0.0,0.0,0.0,492396.67,3981845.92,0.0,3489449.25
UK,2025-03,97.0,0.0,1.0,97.0,476.0,0.0,0.0,504.0,438164.17,3930655.68,0.0,3492491.5100000002
UK,2025-04,96.0,0.0,3.0,96.0,477.0,0.0,0.0,487.0,475180.0,3915859.95,0.0,3440679.95
UK,2025-05,93.0,0.0,0.0,93.0,450.0,0.0,0.0,476.0,400287.5,3789585.0,0.0,3389297.5
UK,2025-06,93.0,0.0,0.0,93.0,405.0,0.0,0.0,477.0,400287.5,3438456.08,0.0,3038168.58
UK,2025-07,93.0,0.0,0.0,93.0,435.0,0.0,0.0,450.0,400287.5,3719700.22,0.0,3319412.72
UK,2025-08,93.0,0.0,0.0,93.0,435.0,0.0,0.0,405.0,400287.5,3595320.68,0.0,3195033.18
UK,2025-09,93.0,25.0,0.0,118.0,494.0,0.0,0.0,435.0,507891.67,4187398.41,0.0,3679506.74
UK,2025-10,118.0,20.0,0.0,138.0,683.0,0.0,0.0,435.0,593975.0,5671990.58,0.0,5078015.58
UK,2025-11,138.0,0.0,0.0,138.0,697.0,13.0,0.0,494.0,593975.0,5640054.3,8766.22,5046079.3
UK,2025-12,138.0,0.0,0.0,138.0,682.0,0.0,0.0,683.0,593975.0,5568117.39,0.0,4974142.39
Australia,2025-01,450.0,0.0,378.0,450.0,357.0,0.0,0.0,0.0,8209393.5,1981971.18,0.0,-6227422.32
Australia,2025-02,72.0,0.0,0.0,72.0,328.0,0.0,0.0,0.0,261030.0,1763318.16,0.0,1502288.16
Australia,2025-03,72.0,0.0,0.0,72.0,345.0,0.0,0.0,357.0,261030.0,1804362.08,0.0,1543332.08
Australia,2025-04,72.0,0.0,0.0,72.0,366.0,0.0,0.0,328.0,261030.0,1864535.76,0.0,1603505.76
Australia,2025-05,72.0,0.0,0.0,72.0,354.0,1.0,0.0,345.0,261030.0,1897215.21,446.61,1636185.21
Australia,2025-06,72.0,0.0,0.0,72.0,292.0,0.0,0.0,366.0,261030.0,1548338.76,0.0,1287308.76
Australia,2025-07,72.0,0.0,0.0,72.0,318.0,0.0,1.0,354.0,261030.0,1645635.69,0.0,1384605.69
Australia,2025-08,72.0,0.0,0.0,72.0,312.0,0.0,0.0,292.0,261030.0,1646849.88,0.0,1385819.88
Australia,2025-09,72.0,20.0,0.0,92.0,392.0,0.0,0.0,318.0,333538.33,2019744.72,0.0,1686206.39
Australia,2025-10,92.0,14.0,0.0,106.0,521.0,0.0,0.0,312.0,384294.17,2637773.51,0.0,2253479.34
Australia,2025-11,106.0,0.0,0.0,106.0,539.0,32.0,0.0,392.0,384294.17,2821244.58,13957.92,2436950.41
Australia,2025-12,106.0,0.0,0.0,106.0,513.0,0.0,0.0,521.0,384294.17,2631620.74,0.0,2247326.5700000003
China,2025-01,252.0,0.0,161.0,252.0,460.0,0.0,0.0,0.0,1901431.0,4430151.9,0.0,2528720.9000000004
China,2025-02,91.0,0.0,2.0,91.0,443.0,0.0,0.0,0.0,186654.92,4413070.76,0.0,4226415.84
China,2025-03,89.0,0.0,1.0,89.0,444.0,0.0,0.0,460.0,174038.08,4206109.68,0.0,4032071.5999999996
China,2025-04,88.0,0.0,0.0,88.0,433.0,0.0,0.0,443.0,163276.67,4083783.21,0.0,3920506.54
China,2025-05,88.0,0.0,0.0,88.0,445.0,0.0,0.0,444.0,163276.67,4227657.98,0.0,4064381.3100000005
China,2025-06,88.0,0.0,0.0,88.0,369.0,0.0,0.0,433.0,163276.67,3737768.9,0.0,3574492.23
China,2025-07,88.0,0.0,0.0,88.0,411.0,0.0,0.0,445.0,163276.67,4031706.56,0.0,3868429.89
China,2025-08,88.0,0.0,0.0,88.0,374.0,0.0,0.0,369.0,163276.67,3592060.56,0.0,3428783.89
China,2025-09,88.0,28.0,0.0,116.0,485.0,0.0,0.0,411.0,215228.33,4570678.8,0.0,4355450.47
China,2025-10,116.0,17.0,0.0,133.0,673.0,0.0,0.0,374.0,246770.42,6445526.26,0.0,6198755.84
China,2025-11,133.0,0.0,0.0,133.0,655.0,0.0,0.0,485.0,246770.42,6513208.65,0.0,6266438.23
China,2025-12,133.0,133.0,0.0,266.0,609.0,0.0,0.0,673.0,493540.83,6087856.32,0.0,5594315.49
South Korea,2025-01,199.0,0.0,140.0,199.0,303.0,0.0,0.0,0.0,2783861.17,1154380.01,0.0,-1629481.16
South Korea,2025-02,59.0,0.0,0.0,59.0,267.0,0.0,0.0,0.0,188573.83,1060624.12,0.0,872050.2900000002
South Korea,2025-03,59.0,0.0,0.0,59.0,293.0,0.0,0.0,303.0,188573.83,1107777.33,0.0,919203.5000000001
South Korea,2025-04,59.0,0.0,0.0,59.0,294.0,0.0,0.0,267.0,188573.83,1124655.84,0.0,936082.0100000001
South Korea,2025-05,59.0,0.0,0.0,59.0,288.0,0.0,0.0,293.0,188573.83,1131757.92,0.0,943184.09
South Korea,2025-06,59.0,0.0,0.0,59.0,252.0,0.0,0.0,294.0,188573.83,932692.32,0.0,744118.49
South Korea,2025-07,59.0,0.0,0.0,59.0,267.0,0.0,0.0,288.0,188573.83,1065273.93,0.0,876700.1
South Korea,2025-08,59.0,0.0,0.0,59.0,248.0,0.0,0.0,252.0,188573.83,909417.24,0.0,720843.41
South Korea,2025-09,59.0,15.0,0.0,74.0,317.0,0.0,0.0,267.0,236516.33,1166506.11,0.0,929989.7800000001
South Korea,2025-10,74.0,0.0,0.0,74.0,420.0,0.0,0.0,248.0,236516.33,1568492.1,0.0,1331975.77
South Korea,2025-11,74.0,10.0,0.0,84.0,320.0,116.0,0.0,317.0,268478.0,1155556.8,34907.45,887078.8
South Korea,2025-12,84.0,0.0,0.0,84.0,519.0,0.0,0.0,420.0,268478.0,1925035.88,0.0,1656557.88
UAE,2025-01,309.0,0.0,308.0,309.0,0.0,76.0,0.0,0.0,9698879.25,0.0,2979.68,-9698879.25
UAE,2025-02,1.0,0.0,0.0,1.0,10.0,130.0,0.0,0.0,5426.25,5748.3,6227.33,322.0500000000002
UAE,2025-03,1.0,0.0,0.0,1.0,0.0,133.0,76.0,0.0,5426.25,0.0,5085.75,-5426.25
UAE,2025-04,1.0,0.0,0.0,1.0,10.0,71.0,130.0,10.0,5426.25,4768.2,2821.18,-658.0500000000002
UAE,2025-05,1.0,0.0,0.0,1.0,0.0,14.0,133.0,0.0,5426.25,0.0,537.55,-5426.25
UAE,2025-06,1.0,0.0,0.0,1.0,5.0,0.0,71.0,10.0,5426.25,2631.15,0.0,-2795.1
UAE,2025-07,1.0,0.0,0.0,1.0,5.0,45.0,14.0,0.0,5426.25,2274.08,1705.56,-3152.17
UAE,2025-08,1.0,0.0,0.0,1.0,5.0,112.0,0.0,5.0,5426.25,2091.83,3904.74,-3334.42
UAE,2025-09,1.0,0.0,0.0,1.0,5.0,146.0,45.0,5.0,5426.25,2694.6,6556.86,-2731.65
UAE,2025-10,1.0,0.0,0.0,1.0,5.0,142.0,112.0,5.0,5426.25,2732.4,6466.68,-2693.85
UAE,2025-11,1.0,0.0,0.0,1.0,5.0,111.0,146.0,5.0,5426.25,2418.52,4474.27,-3007.73
